subject,block,number,response,error,rt,condition,correct,congruency,size,task,congsize,decade,unit,sizeunit,decadeDistance,unitDistance,distance
1,1,47,l       ,C       ,4666,decade,1,incongruent,small decade digits,parity,digits have different size,4,7,large unit digits,1,2,8
1,1,61,l       ,C       ,751,decade,1,incongruent,large decade digits,parity,digits have different size,6,1,small unit digits,1,4,6
1,1,39,a       ,C       ,751,decade,1,congruent,small decade digits,parity,digits have different size,3,9,large unit digits,2,4,16
1,1,67,l       ,C       ,921,decade,1,incongruent,large decade digits,parity,both digits have the same size,6,7,large unit digits,1,2,12
1,1,31,a       ,C       ,941,decade,1,congruent,small decade digits,parity,both digits have the same size,3,1,small unit digits,2,4,24
1,1,43,l       ,C       ,761,decade,1,incongruent,small decade digits,parity,both digits have the same size,4,3,small unit digits,1,2,12
1,1,13,a       ,C       ,971,decade,1,congruent,small decade digits,parity,both digits have the same size,1,3,small unit digits,4,2,42
1,1,37,a       ,C       ,791,decade,1,congruent,small decade digits,parity,digits have different size,3,7,large unit digits,2,2,18
1,1,87,l       ,C       ,631,decade,1,incongruent,large decade digits,parity,both digits have the same size,8,7,large unit digits,3,2,32
1,1,21,l       ,C       ,841,decade,1,incongruent,small decade digits,parity,both digits have the same size,2,1,small unit digits,3,4,34
1,1,72,a       ,C       ,711,decade,1,incongruent,large decade digits,parity,digits have different size,7,2,small unit digits,2,3,17
1,1,24,l       ,C       ,6539,decade,1,congruent,small decade digits,parity,both digits have the same size,2,4,small unit digits,3,1,31
1,1,76,a       ,C       ,611,decade,1,incongruent,large decade digits,parity,both digits have the same size,7,6,large unit digits,2,1,21
1,1,11,a       ,C       ,961,decade,1,congruent,small decade digits,parity,both digits have the same size,1,1,small unit digits,4,4,44
1,1,74,a       ,C       ,501,decade,1,incongruent,large decade digits,parity,digits have different size,7,4,small unit digits,2,1,19
1,1,17,a       ,C       ,421,decade,1,congruent,small decade digits,parity,digits have different size,1,7,large unit digits,4,2,38
1,1,44,l       ,C       ,741,decade,1,congruent,small decade digits,parity,both digits have the same size,4,4,small unit digits,1,1,11
1,2,32,a       ,C       ,610,decade,1,incongruent,small decade digits,parity,both digits have the same size,3,2,small unit digits,2,3,23
1,2,39,a       ,C       ,501,decade,1,congruent,small decade digits,parity,digits have different size,3,9,large unit digits,2,4,16
1,2,36,a       ,C       ,371,decade,1,incongruent,small decade digits,parity,digits have different size,3,6,large unit digits,2,1,19
1,2,91,a       ,C       ,731,decade,1,congruent,large decade digits,parity,digits have different size,9,1,small unit digits,4,4,36
1,2,99,a       ,C       ,670,decade,1,congruent,large decade digits,parity,both digits have the same size,9,9,large unit digits,4,4,44
1,2,41,l       ,C       ,871,decade,1,incongruent,small decade digits,parity,both digits have the same size,4,1,small unit digits,1,4,14
1,2,17,a       ,C       ,891,decade,1,congruent,small decade digits,parity,digits have different size,1,7,large unit digits,4,2,38
1,2,14,a       ,C       ,451,decade,1,incongruent,small decade digits,parity,both digits have the same size,1,4,small unit digits,4,1,41
1,2,22,l       ,C       ,611,decade,1,congruent,small decade digits,parity,both digits have the same size,2,2,small unit digits,3,3,33
1,2,96,a       ,C       ,771,decade,1,incongruent,large decade digits,parity,both digits have the same size,9,6,large unit digits,4,1,41
1,2,26,l       ,C       ,992,decade,1,congruent,small decade digits,parity,digits have different size,2,6,large unit digits,3,1,29
1,2,62,l       ,C       ,691,decade,1,congruent,large decade digits,parity,digits have different size,6,2,small unit digits,1,3,7
1,2,18,a       ,C       ,590,decade,1,incongruent,small decade digits,parity,digits have different size,1,8,large unit digits,4,3,37
1,2,66,l       ,C       ,1402,decade,1,congruent,large decade digits,parity,both digits have the same size,6,6,large unit digits,1,1,11
1,2,86,l       ,C       ,441,decade,1,congruent,large decade digits,parity,both digits have the same size,8,6,large unit digits,3,1,31
1,2,83,l       ,C       ,401,decade,1,incongruent,large decade digits,parity,digits have different size,8,3,small unit digits,3,2,28
1,2,28,l       ,C       ,471,decade,1,congruent,small decade digits,parity,digits have different size,2,8,large unit digits,3,3,27
1,2,61,l       ,C       ,480,decade,1,incongruent,large decade digits,parity,digits have different size,6,1,small unit digits,1,4,6
1,2,73,a       ,C       ,520,decade,1,congruent,large decade digits,parity,digits have different size,7,3,small unit digits,2,2,18
1,2,67,l       ,C       ,641,decade,1,incongruent,large decade digits,parity,both digits have the same size,6,7,large unit digits,1,2,12
1,2,63,l       ,C       ,491,decade,1,incongruent,large decade digits,parity,digits have different size,6,3,small unit digits,1,2,8
1,2,69,l       ,C       ,381,decade,1,incongruent,large decade digits,parity,both digits have the same size,6,9,large unit digits,1,4,14
1,2,89,l       ,C       ,812,decade,1,incongruent,large decade digits,parity,both digits have the same size,8,9,large unit digits,3,4,34
1,2,49,l       ,C       ,511,decade,1,incongruent,small decade digits,parity,digits have different size,4,9,large unit digits,1,4,6
1,2,37,a       ,C       ,721,decade,1,congruent,small decade digits,parity,digits have different size,3,7,large unit digits,2,2,18
1,2,71,a       ,C       ,490,decade,1,congruent,large decade digits,parity,digits have different size,7,1,small unit digits,2,4,16
1,2,74,a       ,C       ,440,decade,1,incongruent,large decade digits,parity,digits have different size,7,4,small unit digits,2,1,19
1,2,47,l       ,C       ,521,decade,1,incongruent,small decade digits,parity,digits have different size,4,7,large unit digits,1,2,8
1,2,13,a       ,C       ,641,decade,1,congruent,small decade digits,parity,both digits have the same size,1,3,small unit digits,4,2,42
1,2,34,a       ,C       ,2033,decade,1,incongruent,small decade digits,parity,both digits have the same size,3,4,small unit digits,2,1,21
1,2,79,a       ,C       ,471,decade,1,congruent,large decade digits,parity,both digits have the same size,7,9,large unit digits,2,4,24
1,2,93,a       ,C       ,911,decade,1,congruent,large decade digits,parity,digits have different size,9,3,small unit digits,4,2,38
1,2,46,l       ,C       ,1772,decade,1,congruent,small decade digits,parity,digits have different size,4,6,large unit digits,1,1,9
1,2,21,l       ,C       ,661,decade,1,incongruent,small decade digits,parity,both digits have the same size,2,1,small unit digits,3,4,34
1,2,72,a       ,C       ,511,decade,1,incongruent,large decade digits,parity,digits have different size,7,2,small unit digits,2,3,17
1,2,87,l       ,C       ,1262,decade,1,incongruent,large decade digits,parity,both digits have the same size,8,7,large unit digits,3,2,32
1,2,43,l       ,C       ,490,decade,1,incongruent,small decade digits,parity,both digits have the same size,4,3,small unit digits,1,2,12
1,2,48,l       ,C       ,320,decade,1,congruent,small decade digits,parity,digits have different size,4,8,large unit digits,1,3,7
1,2,44,l       ,C       ,330,decade,1,congruent,small decade digits,parity,both digits have the same size,4,4,small unit digits,1,1,11
1,2,76,a       ,C       ,470,decade,1,incongruent,large decade digits,parity,both digits have the same size,7,6,large unit digits,2,1,21
1,2,29,l       ,C       ,550,decade,1,incongruent,small decade digits,parity,digits have different size,2,9,large unit digits,3,4,26
1,2,92,a       ,C       ,721,decade,1,incongruent,large decade digits,parity,digits have different size,9,2,small unit digits,4,3,37
1,2,19,a       ,C       ,1052,decade,1,congruent,small decade digits,parity,digits have different size,1,9,large unit digits,4,4,36
1,2,68,a       ,E       ,651,decade,0,congruent,large decade digits,parity,both digits have the same size,6,8,large unit digits,1,3,13
1,2,23,l       ,C       ,991,decade,1,incongruent,small decade digits,parity,both digits have the same size,2,3,small unit digits,3,2,32
1,2,84,l       ,C       ,450,decade,1,congruent,large decade digits,parity,digits have different size,8,4,small unit digits,3,1,29
1,2,64,l       ,C       ,530,decade,1,congruent,large decade digits,parity,digits have different size,6,4,small unit digits,1,1,9
1,2,31,a       ,C       ,641,decade,1,congruent,small decade digits,parity,both digits have the same size,3,1,small unit digits,2,4,24
1,2,77,a       ,C       ,671,decade,1,congruent,large decade digits,parity,both digits have the same size,7,7,large unit digits,2,2,22
1,2,12,a       ,C       ,961,decade,1,incongruent,small decade digits,parity,both digits have the same size,1,2,small unit digits,4,3,43
1,2,27,l       ,C       ,721,decade,1,incongruent,small decade digits,parity,digits have different size,2,7,large unit digits,3,2,28
1,2,94,a       ,C       ,821,decade,1,incongruent,large decade digits,parity,digits have different size,9,4,small unit digits,4,1,39
1,2,33,a       ,C       ,711,decade,1,congruent,small decade digits,parity,both digits have the same size,3,3,small unit digits,2,2,22
1,2,78,a       ,C       ,581,decade,1,incongruent,large decade digits,parity,both digits have the same size,7,8,large unit digits,2,3,23
1,2,81,l       ,C       ,811,decade,1,incongruent,large decade digits,parity,digits have different size,8,1,small unit digits,3,4,26
1,2,42,l       ,C       ,1061,decade,1,congruent,small decade digits,parity,both digits have the same size,4,2,small unit digits,1,3,13
1,2,98,a       ,C       ,631,decade,1,incongruent,large decade digits,parity,both digits have the same size,9,8,large unit digits,4,3,43
1,2,82,l       ,C       ,942,decade,1,congruent,large decade digits,parity,digits have different size,8,2,small unit digits,3,3,27
1,2,38,a       ,C       ,621,decade,1,incongruent,small decade digits,parity,digits have different size,3,8,large unit digits,2,3,17
1,2,97,a       ,C       ,962,decade,1,congruent,large decade digits,parity,both digits have the same size,9,7,large unit digits,4,2,42
1,2,24,l       ,C       ,1232,decade,1,congruent,small decade digits,parity,both digits have the same size,2,4,small unit digits,3,1,31
1,2,11,a       ,C       ,641,decade,1,congruent,small decade digits,parity,both digits have the same size,1,1,small unit digits,4,4,44
1,2,16,a       ,C       ,591,decade,1,incongruent,small decade digits,parity,digits have different size,1,6,large unit digits,4,1,39
1,2,88,l       ,C       ,801,decade,1,congruent,large decade digits,parity,both digits have the same size,8,8,large unit digits,3,3,33
1,1,62,a       ,C       ,1071,decade,1,congruent,large decade digits,parity,digits have different size,6,2,small unit digits,1,3,7
1,1,78,l       ,C       ,641,decade,1,incongruent,large decade digits,parity,both digits have the same size,7,8,large unit digits,2,3,23
1,1,28,a       ,C       ,631,decade,1,congruent,small decade digits,parity,digits have different size,2,8,large unit digits,3,3,27
1,1,82,a       ,C       ,701,decade,1,congruent,large decade digits,parity,digits have different size,8,2,small unit digits,3,3,27
1,1,19,l       ,C       ,581,decade,1,congruent,small decade digits,parity,digits have different size,1,9,large unit digits,4,4,36
1,1,83,a       ,C       ,1402,decade,1,incongruent,large decade digits,parity,digits have different size,8,3,small unit digits,3,2,28
1,1,98,l       ,C       ,591,decade,1,incongruent,large decade digits,parity,both digits have the same size,9,8,large unit digits,4,3,43
1,1,29,a       ,C       ,1572,decade,1,incongruent,small decade digits,parity,digits have different size,2,9,large unit digits,3,4,26
1,1,68,a       ,C       ,761,decade,1,congruent,large decade digits,parity,both digits have the same size,6,8,large unit digits,1,3,13
1,1,93,l       ,C       ,801,decade,1,congruent,large decade digits,parity,digits have different size,9,3,small unit digits,4,2,38
1,1,13,l       ,C       ,491,decade,1,congruent,small decade digits,parity,both digits have the same size,1,3,small unit digits,4,2,42
1,1,17,l       ,C       ,381,decade,1,congruent,small decade digits,parity,digits have different size,1,7,large unit digits,4,2,38
1,1,18,l       ,C       ,421,decade,1,incongruent,small decade digits,parity,digits have different size,1,8,large unit digits,4,3,37
1,1,74,l       ,C       ,691,decade,1,incongruent,large decade digits,parity,digits have different size,7,4,small unit digits,2,1,19
1,1,24,a       ,C       ,752,decade,1,congruent,small decade digits,parity,both digits have the same size,2,4,small unit digits,3,1,31
1,1,97,l       ,C       ,621,decade,1,congruent,large decade digits,parity,both digits have the same size,9,7,large unit digits,4,2,42
1,1,77,l       ,C       ,701,decade,1,congruent,large decade digits,parity,both digits have the same size,7,7,large unit digits,2,2,22
1,1,34,l       ,C       ,511,decade,1,incongruent,small decade digits,parity,both digits have the same size,3,4,small unit digits,2,1,21
1,1,94,l       ,C       ,581,decade,1,incongruent,large decade digits,parity,digits have different size,9,4,small unit digits,4,1,39
